municipio,positivos,recuperados,decesos
Cobija,12,0,1
Warnes,3,0,0
Tarija,3,0,0
Robore,5,0,1
Eucaliptus,2,0,1
Cliza,1,0,1
Sacaba,2,0,0
San Carlos,1,0,0
Copacabana,1,0,0
Concepcion,1,0,0
Uyuni,1,0,0
Cotoca,4,0,0
Sucre,1,0,0
San Pedro,1,0,0
El Alto,40,4,5
La Guardia,12,0,1
Cairoma,11,0,0
Punata,8,0,1
Genreal Saavedra,4,0,0
Capinota,0,0,0
Potosi,18,0,1
Santibañez,12,0,0
Vallegrande,8,1,0
Cochabamba,26,4,2
Porongo (Ayacucho),1,1,0
Laja,1,0,0
Huanuni,6,0,0
Santa Cruz de la Sierra,181,8,8
San Julián,1,0,0
Oruro,34,8,1
Montero,67,0,2
Quillacollo,5,0,1
La Paz,60,2,6
Malla,1,0,0
Chulumani,1,0,0
Patacamaya,18,0,1
Santuario de Quillacas,3,0,0
Omereque,5,1,0
Colcapirhua,1,1,0
Chimore,1,1,0
Santa Rosa,1,0,0
